,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
0,0,5,3,5,0,5,5,5,0,4,4,5,0,4,5,5
1,0,5,4,5,0,5,4,5,0,5,4,5,0,3,5,5
2,0,5,4,5,0,3,4,5,0,5,5,5,0,5,4,5
3,0,4,4,5,0,4,4,5,2,5,4,5,2,5,5,5
4,0,5,5,5,0,5,5,5,0,5,3,5,2,5,3,5
5,0,3,4,5,0,5,5,5,0,5,4,5,0,5,4,5
6,0,4,5,5,0,4,5,5,0,5,4,5,3,5,4,5
7,0,2,5,5,2,5,5,5,0,3,4,5,0,5,4,5
8,2,6,7,7,4,7,8,7,4,7,8,7,5,6,8,7
9,2,7,8,7,2,7,7,7,4,7,8,7,4,7,8,7
10,2,7,7,7,2,7,8,7,4,7,6,7,5,6,7,7
11,2,7,8,7,2,7,8,7,4,6,8,7,4,7,8,7
12,4,7,6,7,4,7,7,7,4,7,7,7,5,8,7,7
13,2,7,7,7,2,7,6,7,4,7,6,7,6,8,7,7
14,2,7,7,7,4,7,7,7,4,7,7,7,5,6,8,7
15,2,7,6,7,2,6,7,7,5,7,8,7,5,7,7,7
16,0,7,7,7,4,7,6,7,5,7,8,7,7,7,8,7
17,1,7,6,7,2,7,6,7,4,7,8,7,6,7,8,7
18,1,7,7,7,2,7,7,7,2,7,7,7,5,7,8,7
19,0,7,7,7,2,7,6,7,5,7,8,7,5,6,8,7
20,2,7,6,7,4,7,7,7,2,7,7,7,4,7,8,7
21,2,6,6,7,4,7,6,7,2,7,8,7,5,7,7,7
22,0,7,6,7,5,7,6,7,5,7,7,7,5,7,7,7
23,0,7,6,7,2,7,6,7,4,7,7,7,5,7,6,7
24,1,7,6,7,2,7,6,7,4,7,6,7,5,6,6,7
25,0,7,7,7,2,7,7,7,4,7,8,7,5,7,7,7
26,0,7,6,7,2,7,6,7,4,7,7,7,4,7,8,7
27,2,7,7,7,1,7,7,7,4,8,7,7,4,7,6,7
28,0,7,6,7,2,7,6,7,4,7,6,7,4,7,8,7
29,0,7,6,7,3,7,5,7,2,7,6,7,5,7,7,7
30,1,7,6,7,2,7,6,7,4,7,7,7,5,7,8,7
31,1,7,6,7,2,7,6,7,0,7,6,7,4,7,8,7
32,1,7,8,7,0,8,8,7,1,7,8,7,6,8,7,7
33,0,7,7,7,1,8,7,7,1,7,7,7,2,8,7,7
34,0,8,7,7,1,9,8,7,0,7,7,7,1,7,7,7
35,0,8,8,7,0,7,8,7,0,7,7,7,2,7,7,7
36,0,8,8,7,1,7,7,7,0,6,7,7,1,7,7,7
37,0,7,8,7,0,7,8,7,1,8,8,7,2,8,7,7
38,0,6,8,7,0,9,8,7,0,6,8,7,0,7,8,7
39,0,7,8,7,0,7,8,7,0,7,8,7,1,8,7,7
40,2,8,8,7,4,7,8,7,4,7,8,7,7,7,7,7
41,0,6,8,7,4,8,8,7,2,8,7,7,6,8,7,7
42,1,7,8,7,4,8,7,7,4,7,7,7,6,6,8,7
43,1,8,8,7,2,9,8,7,4,7,7,7,6,7,7,7
44,0,7,8,7,4,7,8,7,2,7,7,7,7,7,7,7
45,1,8,8,7,2,7,8,7,1,7,7,7,5,8,8,7
46,2,8,8,7,2,8,8,7,2,7,7,7,7,8,7,7
47,1,7,8,7,2,7,8,7,4,5,7,7,6,7,7,7
48,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
49,4,7,7,7,7,7,7,7,7,5,8,7,7,7,8,7
50,7,7,7,7,7,7,7,7,5,7,7,7,7,8,8,7
51,4,7,7,7,5,7,8,7,5,8,8,7,7,6,8,7
52,5,7,7,7,7,7,7,7,5,7,7,7,7,7,8,7
53,4,7,8,7,5,7,8,7,5,7,7,7,7,7,8,7
54,5,7,7,7,5,7,6,7,7,7,7,7,7,7,8,7
55,4,7,7,7,5,7,8,7,5,7,6,7,8,8,8,7
56,7,7,9,7,7,8,8,7,8,7,7,7,6,7,8,7
57,5,8,8,7,7,7,8,7,7,7,7,7,8,7,8,7
58,7,7,6,8,7,7,9,7,8,7,7,7,7,6,8,7
59,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7
