,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
0,0,3,3,5,0,3,4,5,0,3,4,5,0,3,5,5
1,0,3,3,5,0,3,3,5,0,3,3,5,0,3,5,5
2,0,3,3,5,0,3,3,5,0,3,4,5,0,3,3,5
3,0,3,3,5,0,3,3,5,2,3,3,5,2,3,4,5
4,0,3,3,5,0,3,3,5,0,3,3,5,2,3,3,5
5,0,2,3,5,0,3,3,5,0,3,3,5,0,3,3,5
6,0,3,3,5,0,2,3,5,0,3,3,5,3,3,3,5
7,0,2,3,5,2,3,3,5,0,3,3,5,0,3,3,5
8,2,5,6,8,4,5,8,8,4,5,8,8,5,5,8,8
9,2,5,8,8,2,5,6,8,4,5,8,8,4,6,8,8
10,2,5,6,8,2,5,8,8,4,5,5,8,5,5,8,8
11,2,5,7,8,2,5,8,8,4,5,8,8,4,6,8,8
12,4,5,5,8,4,5,6,8,4,5,6,8,5,6,8,8
13,2,5,6,8,2,5,5,8,4,5,5,8,5,7,7,8
14,2,5,6,8,4,5,6,8,4,5,6,8,5,5,8,8
15,2,5,5,8,2,5,7,8,5,6,8,8,5,7,8,8
16,0,5,6,8,4,5,5,8,5,5,7,8,5,5,8,8
17,1,5,5,8,2,5,5,8,4,5,8,8,5,6,8,8
18,1,5,6,8,2,5,7,8,2,5,6,8,5,5,8,8
19,0,5,6,8,2,5,5,8,5,5,7,8,5,5,8,8
20,2,5,5,8,4,5,7,8,2,5,6,8,4,5,8,8
21,2,5,5,8,4,5,5,8,2,5,7,8,5,5,8,8
22,0,5,5,8,5,5,5,8,5,5,6,8,5,5,7,8
23,0,5,5,8,2,5,5,8,4,5,7,8,5,5,5,8
24,1,5,5,8,2,5,5,8,4,5,5,8,5,5,7,8
25,0,5,6,8,2,5,6,8,4,5,7,8,5,5,8,8
26,0,5,5,8,2,5,5,8,4,5,6,8,4,5,8,8
27,2,5,6,8,1,5,6,8,4,6,7,8,4,5,6,8
28,0,5,5,8,2,5,5,8,4,5,5,8,4,5,8,8
29,0,5,5,8,3,5,5,8,2,5,6,8,5,5,8,8
30,1,5,5,8,2,5,5,8,4,5,6,8,5,5,8,8
31,1,5,5,8,2,5,5,8,0,5,5,8,4,5,8,8
32,1,6,7,8,0,8,8,8,1,6,8,8,5,8,8,8
33,0,6,8,8,1,7,7,8,1,6,8,8,2,8,8,8
34,0,6,6,8,1,8,8,8,0,6,7,8,1,6,8,8
35,0,6,7,8,0,6,7,8,0,6,8,8,2,6,7,8
36,0,6,7,8,1,5,7,8,0,6,7,8,1,8,8,8
37,0,6,7,8,0,6,7,8,1,7,8,8,2,7,8,8
38,0,5,7,7,0,7,7,8,0,5,7,8,0,6,8,8
39,0,5,7,8,0,5,7,8,0,6,7,8,1,7,8,8
40,2,6,8,8,4,6,8,8,4,6,8,8,5,7,8,8
41,0,5,8,8,4,8,8,8,2,8,8,8,5,8,8,8
