,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
0,0,3,3,5,0,3,5,5,0,3,5,5,0,3,5,5
1,0,3,3,5,0,3,3,5,0,3,3,5,0,3,6,5
2,0,3,3,6,0,3,3,6,0,3,4,5,0,3,3,5
3,0,3,3,6,0,3,3,6,2,3,3,5,2,3,5,5
4,0,3,3,6,0,3,3,6,0,3,3,6,2,3,3,5
5,0,2,3,6,0,3,3,6,0,3,3,6,0,3,3,5
6,0,3,3,6,0,2,3,6,0,3,3,6,3,3,3,5
7,0,2,3,6,2,3,3,6,0,3,3,6,0,3,3,5
8,3,6,6,7,5,6,7,7,5,6,7,7,6,5,7,7
9,3,6,7,7,3,6,6,7,5,6,7,7,5,7,7,7
10,3,6,6,7,3,6,7,7,5,6,5,7,6,6,7,7
11,3,6,7,7,3,6,7,7,5,6,7,7,5,7,7,7
12,5,6,5,7,5,6,6,7,5,6,6,7,6,7,7,7
13,3,6,7,7,3,6,5,7,5,6,5,7,6,7,7,7
14,3,6,7,7,5,6,6,7,5,6,6,7,6,6,7,7
15,3,6,6,7,3,6,6,7,6,7,7,7,6,7,7,7
16,0,6,6,7,5,6,5,7,6,6,7,7,6,6,7,7
17,1,6,5,7,3,6,5,7,5,6,7,7,6,7,7,7
18,1,6,6,7,2,6,6,7,3,6,6,7,6,6,7,7
19,0,6,6,7,2,6,5,7,6,6,7,7,6,6,7,7
20,2,6,5,7,5,6,6,7,3,6,6,7,5,6,7,7
21,2,6,5,7,5,6,5,7,2,6,7,7,6,6,7,7
22,0,6,6,7,5,6,5,7,5,6,6,7,6,6,6,7
23,0,6,6,7,3,6,5,7,5,6,6,7,6,6,5,7
24,1,6,5,7,3,6,5,7,5,6,5,7,6,6,6,7
25,0,6,6,7,3,6,6,7,5,6,7,7,6,6,7,7
26,0,6,5,7,2,6,5,7,5,6,6,7,5,6,7,7
27,2,6,6,7,2,6,6,7,5,7,6,7,4,6,6,7
28,0,6,5,7,2,6,5,7,4,6,5,7,5,6,7,7
29,0,6,5,7,3,6,5,7,2,6,6,7,6,6,7,7
30,1,6,5,7,3,6,5,7,5,6,6,7,6,6,7,7
31,1,6,5,7,2,6,5,7,0,6,5,7,5,6,7,7
32,1,7,7,7,0,8,7,7,1,7,7,7,5,7,7,7
33,0,7,7,7,1,8,7,7,2,7,7,7,3,8,7,7
34,0,7,6,7,1,8,7,7,0,7,7,7,1,6,7,7
35,0,7,7,7,0,7,7,7,0,7,7,7,3,7,7,7
36,0,7,7,7,1,6,7,7,0,7,7,7,2,8,7,7
37,0,7,7,7,0,7,7,7,1,8,7,7,2,8,7,7
38,0,6,7,7,0,8,7,7,0,6,7,7,0,7,7,7
39,0,6,7,7,0,6,7,7,0,7,7,7,1,8,7,7
40,3,7,7,7,5,7,7,7,5,6,7,7,6,6,7,7
41,0,6,7,7,5,8,7,7,3,7,7,7,6,7,7,7
42,2,6,7,7,5,7,7,7,5,7,7,7,5,7,7,7
43,2,7,7,7,3,8,7,7,5,7,7,7,5,6,7,7
44,0,6,7,7,5,6,7,7,3,6,7,7,6,7,7,7
45,1,7,7,7,3,6,7,7,2,7,7,7,6,8,7,7
46,2,7,7,7,3,7,7,7,3,7,7,7,6,8,7,7
47,1,6,7,7,3,6,7,7,5,5,7,7,6,7,7,7
48,6,6,6,7,6,6,6,7,6,6,6,7,6,7,7,7
49,5,6,6,7,6,6,6,7,6,6,7,7,6,7,7,7
50,5,6,6,7,6,6,6,7,6,6,6,7,6,8,7,7
51,5,6,6,7,6,6,7,7,6,7,7,7,6,7,7,7
52,5,6,6,7,6,6,6,7,6,6,6,7,6,6,7,7
53,4,6,7,7,6,6,7,7,5,6,6,7,6,6,7,7
54,5,6,7,7,6,6,5,7,6,6,6,7,6,6,7,7
55,4,6,6,7,6,6,7,7,6,6,5,7,7,8,7,7
56,6,6,7,7,6,7,7,7,7,6,6,7,6,7,7,7
57,6,7,6,7,6,6,7,7,6,6,6,7,7,8,7,7
58,6,6,5,7,6,6,7,7,7,6,6,7,6,6,7,7
59,6,6,6,7,6,6,6,7,6,6,6,7,6,7,7,7
60,7,7,8,7,6,6,7,7,7,7,6,7,8,7,7,7
61,7,7,7,7,6,6,6,7,6,6,6,7,7,8,7,7
62,6,6,5,7,6,6,8,7,6,6,7,7,6,6,7,7
63,6,6,7,7,6,6,7,7,6,6,5,7,6,7,7,7
64,6,6,5,7,7,6,6,7,7,6,6,7,7,7,7,7
65,7,7,7,7,7,7,7,7,6,6,7,7,7,8,7,7
66,6,6,7,7,6,6,7,7,7,7,6,7,8,8,7,7
67,6,6,7,7,6,6,7,7,7,6,6,7,8,8,7,7
68,6,6,7,7,6,6,6,7,6,7,6,7,6,6,7,7
69,6,6,5,7,6,6,5,7,6,6,7,7,6,6,7,7
70,6,6,5,7,6,6,6,7,7,7,6,7,8,8,7,7
71,6,6,5,7,6,6,6,7,6,7,6,7,7,7,7,7
72,8,7,7,7,8,7,7,7,7,7,7,7,8,8,7,7
73,7,6,7,7,8,7,8,7,8,7,7,7,8,7,7,7
74,6,6,7,7,8,7,7,7,7,7,6,7,8,8,7,7
75,7,7,8,7,6,6,6,7,7,7,7,7,8,8,7,7
76,6,8,8,7,8,8,7,7,7,7,7,7,8,8,7,7
77,6,6,7,7,8,7,8,7,7,6,6,7,8,8,7,7
78,6,6,7,7,8,7,7,7,7,7,6,7,8,8,7,7
79,6,6,5,7,7,6,7,7,7,6,7,7,8,8,7,7
80,7,8,8,7,7,8,7,7,8,8,7,7,8,8,7,7
81,8,8,8,7,6,8,7,7,7,8,7,7,7,8,7,7
82,6,8,8,7,7,8,7,7,8,8,7,7,8,8,7,7
83,7,8,8,7,6,8,8,7,7,8,7,7,7,8,7,7
84,6,8,8,7,8,8,8,7,6,8,7,7,7,8,7,7
85,6,8,8,7,7,8,8,7,8,8,7,7,6,8,7,7
86,7,8,8,7,7,8,8,7,6,8,8,7,8,8,7,7
87,7,8,8,7,5,8,8,7,6,8,7,7,7,8,7,7
88,8,8,8,7,8,8,7,7,8,8,7,7,8,8,7,7
89,7,8,8,7,7,8,7,7,8,8,7,7,7,8,7,7
90,7,8,8,7,7,8,7,7,7,7,7,7,8,8,7,7
91,7,8,8,7,7,8,7,7,8,8,7,7,8,8,7,7
92,6,7,8,7,8,8,8,7,8,8,7,7,8,8,7,7
93,8,8,8,7,5,8,7,7,7,8,7,7,8,8,7,7
94,8,8,8,7,6,8,7,7,8,8,7,7,8,8,7,7
95,6,7,8,7,7,8,7,7,7,8,8,7,7,8,7,7
96,8,8,7,7,7,8,7,7,8,8,7,7,8,8,7,7
97,7,7,8,7,8,8,7,7,7,7,7,7,8,8,7,7
98,8,8,8,7,8,8,7,7,8,8,7,7,8,8,7,7
99,7,8,8,7,8,8,7,7,8,8,7,7,7,8,7,7
100,8,8,8,7,7,8,7,7,7,8,7,7,8,8,7,7
101,7,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7
102,8,8,8,7,8,8,7,7,7,7,7,7,8,8,7,7
103,7,8,8,7,8,8,7,7,8,8,7,7,8,8,7,7
104,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7
105,7,8,7,7,8,8,7,7,7,8,7,7,8,8,7,7
106,7,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7
107,8,8,8,7,8,8,7,7,7,8,7,7,8,8,7,7
108,8,8,8,7,8,8,7,7,8,8,7,7,8,8,7,7
109,8,8,8,7,8,8,7,7,7,8,7,7,8,8,7,7
110,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7
111,7,8,8,7,8,8,7,7,7,8,7,7,8,8,7,7
112,6,8,7,7,8,8,7,7,7,8,7,7,8,8,7,7
113,8,8,7,7,8,8,7,7,7,8,7,7,8,8,7,7
114,8,8,7,7,8,7,7,7,7,7,7,7,8,8,7,7
115,6,7,8,7,8,8,7,7,8,8,7,7,7,8,7,7
116,7,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7
117,6,8,7,7,6,8,7,7,8,8,7,7,8,8,7,7
118,7,8,8,7,8,8,7,7,6,8,7,7,8,8,7,7
119,6,8,8,7,8,8,7,7,5,8,7,7,8,8,7,7
120,7,8,7,7,8,7,7,7,7,8,7,7,8,8,7,7
121,6,8,7,7,8,7,7,7,7,8,7,7,8,8,7,7
122,6,8,7,7,7,8,7,7,7,8,7,7,8,8,7,7
123,7,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7
124,7,7,7,7,8,7,7,7,7,7,7,7,8,8,7,7
125,7,8,8,7,8,8,7,7,6,8,7,7,8,8,7,7
126,6,8,8,7,7,7,7,7,6,7,7,7,7,8,7,7
127,6,8,7,7,7,7,7,7,6,8,7,7,7,8,7,7
128,6,8,8,7,7,7,7,7,7,8,7,7,8,7,7,7
129,6,7,6,7,6,7,6,7,5,6,6,7,7,8,7,7
130,5,6,8,7,5,6,7,7,5,6,7,7,7,6,7,7
131,6,7,8,7,6,8,7,7,7,8,7,7,8,8,7,7
132,5,6,8,7,5,7,7,7,5,7,6,7,7,7,7,7
133,5,7,8,7,6,6,7,7,6,7,7,7,6,8,7,7
134,5,6,7,7,7,7,6,7,5,7,7,7,8,8,7,7
135,5,6,6,7,6,7,8,7,7,6,7,7,8,6,7,7
136,6,7,7,7,6,7,7,7,7,7,8,7,8,8,7,7
137,6,6,7,7,5,6,6,7,7,7,6,7,5,6,7,7
138,4,7,6,7,7,7,7,7,5,7,6,7,7,8,7,7
139,5,6,7,7,5,6,6,7,5,6,7,7,7,7,7,7
140,5,6,6,7,7,8,7,7,5,6,7,7,6,7,7,7
141,4,6,6,7,7,8,7,7,5,6,6,7,7,7,7,7
142,5,6,8,7,5,6,7,7,5,6,6,7,6,6,6,7
143,5,6,7,7,5,7,7,7,5,7,7,7,5,7,7,7
144,5,6,7,7,6,6,6,7,6,7,7,7,8,8,7,7
145,4,7,7,7,6,7,7,7,6,7,6,7,7,8,7,7
146,5,6,6,7,5,7,7,7,5,7,7,7,6,7,7,7
147,4,7,7,7,5,7,7,7,5,6,7,7,5,8,7,7
148,2,6,7,7,5,6,6,7,5,6,7,7,5,7,7,7
149,5,6,7,7,5,7,7,7,5,6,7,7,5,7,7,7
150,4,6,6,7,5,6,7,7,5,6,7,7,6,7,7,7
151,4,6,6,7,5,6,7,7,5,7,7,7,5,6,7,7
152,4,6,7,7,7,7,7,7,5,7,6,7,8,8,7,7
153,1,6,6,7,5,6,7,7,4,7,7,7,6,7,7,7
154,2,6,7,7,5,7,7,7,5,6,6,7,5,7,7,7
155,3,6,6,7,5,6,7,7,4,6,7,7,5,7,7,7
156,2,6,6,7,4,6,7,7,5,6,6,7,6,7,7,7
157,2,7,6,7,5,7,6,7,5,6,7,7,4,8,7,7
158,4,7,6,7,4,6,6,7,5,6,7,7,4,8,7,7
159,2,6,6,7,5,6,6,7,5,6,6,7,5,7,7,7
160,4,6,6,7,7,8,7,7,5,6,6,7,7,8,7,7
161,1,6,7,7,5,6,7,7,4,7,7,7,6,7,7,7
162,2,7,6,7,5,6,6,7,4,6,6,7,7,8,7,7
163,2,6,6,7,4,7,7,7,6,7,7,7,4,6,7,7
