,3000_1m,4000_1m,5000_1m,6000_1m,3000_3m,4000_3m,5000_3m,6000_3m,3000_6m,4000_6m,5000_6m,6000_6m,3000_12m,4000_12m,5000_12m,6000_12m
0,0,0,0,0,3,3,3,3,3,4,4,5,5,5,5,5
1,0,0,0,0,3,3,3,3,3,3,3,5,5,5,5,5
2,0,0,0,0,3,3,3,3,3,3,4,3,5,5,5,5
3,0,0,2,2,3,3,3,3,3,3,3,4,5,5,5,5
4,0,0,0,2,3,3,3,3,3,3,3,3,5,5,5,5
5,0,0,0,0,2,3,3,3,3,3,3,3,5,5,5,5
6,0,0,0,3,3,2,3,3,3,3,3,3,5,5,5,5
7,0,2,0,0,2,3,3,3,3,3,3,3,5,5,5,5
8,2,4,4,5,5,5,5,5,6,7,7,7,7,7,7,7
9,2,2,4,4,5,5,5,6,7,6,7,7,7,7,7,7
10,2,2,4,5,5,5,5,5,6,7,5,7,7,7,7,7
11,2,2,4,4,5,5,5,6,7,7,7,7,7,7,7,7
12,4,4,4,5,5,5,5,6,5,6,6,7,7,7,7,7
13,2,2,4,5,5,5,5,7,6,5,5,7,7,7,7,7
14,2,4,4,5,5,5,5,5,6,6,6,7,7,7,7,7
15,2,2,5,5,5,5,6,6,5,6,7,7,7,7,7,7
16,0,4,5,5,5,5,5,5,6,5,7,7,7,7,7,7
17,1,2,4,5,5,5,5,6,5,5,7,7,7,7,7,7
18,1,2,2,5,5,5,5,5,6,6,6,7,7,7,7,7
19,0,2,5,5,5,5,5,5,6,5,7,7,7,7,7,7
20,2,4,2,4,5,5,5,5,5,6,6,7,7,7,7,7
21,2,4,2,5,5,5,5,5,5,5,7,7,7,7,7,7
22,0,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7
23,0,2,4,5,5,5,5,5,5,5,6,5,7,7,7,7
24,1,2,4,5,5,5,5,5,5,5,5,6,7,7,7,7
25,0,2,4,5,5,5,5,5,6,6,7,7,7,7,7,7
26,0,2,4,4,5,5,5,5,5,5,6,7,7,7,7,7
27,2,1,4,4,5,5,6,5,6,6,6,6,7,7,7,7
28,0,2,4,4,5,5,5,5,5,5,5,7,7,7,7,7
29,0,3,2,5,5,5,5,5,5,5,6,7,7,7,7,7
30,1,2,4,5,5,5,5,5,5,5,6,7,7,7,7,7
31,1,2,0,4,5,5,5,5,5,5,5,7,7,7,7,7
32,1,0,1,5,6,7,6,7,7,7,7,7,7,7,7,7
33,0,1,1,2,6,7,6,7,7,7,7,7,7,7,7,7
34,0,1,0,1,6,7,6,6,6,7,7,7,7,7,7,7
35,0,0,0,2,6,6,6,6,7,7,7,7,7,7,7,7
36,0,1,0,1,6,5,6,7,7,7,7,7,7,7,7,7
37,0,0,1,2,6,6,7,7,7,7,7,7,7,7,7,7
38,0,0,0,0,5,7,5,6,7,7,7,7,7,7,7,7
