,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
0,3,3,5,7,5,5,7,6,3,3,6,6,4,3,6,6
1,3,2,4,7,5,4,7,7,3,2,4,7,3,3,5,6
2,0,2,3,6,4,2,7,6,3,2,4,7,2,0,4,6
3,0,0,4,7,2,2,4,7,0,0,4,6,2,2,5,6
4,2,2,7,6,4,2,4,6,2,0,7,7,0,0,5,6
5,2,3,5,7,3,3,6,6,0,2,2,6,2,2,2,7
6,8,7,8,9,6,6,7,8,9,6,8,8,8,6,9,8
7,7,6,7,8,6,4,9,8,6,5,5,8,7,7,9,7
8,7,6,8,9,6,4,6,8,6,5,6,8,7,5,8,8
9,7,6,7,9,4,4,6,7,4,6,5,8,7,5,6,8
10,6,6,8,9,6,6,6,9,5,5,8,8,6,5,8,8
11,6,4,8,8,7,6,6,8,6,5,6,7,6,6,6,8
12,8,7,8,8,7,7,8,8,7,7,9,8,9,9,9,8
13,7,6,8,8,5,5,7,7,6,5,9,8,7,7,9,8
14,6,5,9,8,5,4,9,8,6,5,9,7,7,6,9,7
15,5,5,8,8,5,5,8,8,5,5,6,8,7,7,7,7
16,6,5,6,8,5,5,7,8,6,5,9,8,6,6,9,7
17,2,5,8,7,4,4,6,8,7,6,9,7,6,7,9,8
18,6,5,9,8,6,5,5,8,7,6,9,7,8,6,9,7
19,5,5,6,8,5,5,6,8,5,5,7,8,7,6,9,8
20,7,7,9,8,2,5,5,7,5,6,9,8,6,5,7,7
21,6,5,8,8,4,5,8,8,6,5,9,8,7,6,8,7
22,6,5,8,8,2,5,6,8,6,5,9,8,6,4,8,8
23,4,6,6,9,5,6,9,7,5,5,8,7,6,5,9,7
24,5,5,8,8,6,5,7,8,6,5,8,8,7,6,7,8
25,4,5,6,8,6,6,7,8,6,6,7,8,6,5,6,8
26,4,5,6,8,5,5,6,8,5,5,9,8,6,6,9,8
27,1,5,7,8,5,5,9,8,6,5,9,7,6,5,7,8
28,1,4,6,8,5,5,6,8,4,6,8,8,6,6,8,8
29,2,2,5,8,1,4,9,8,2,5,6,7,5,6,8,8
30,0,0,2,8,0,0,2,9,0,0,4,7,0,0,4,8
31,0,0,1,7,0,0,4,8,0,0,3,8,0,1,4,8
32,0,0,3,8,0,0,4,8,0,0,4,8,0,0,3,8
33,0,0,2,8,0,0,3,8,0,0,4,8,0,0,6,7
34,0,0,3,8,0,0,4,8,0,0,6,8,0,0,3,8
35,0,0,3,8,0,0,4,7,0,0,4,8,0,0,4,8
36,0,1,4,8,0,1,4,8,2,4,7,7,1,2,6,7
37,0,1,2,7,0,0,4,7,0,2,4,7,0,2,5,7
38,0,1,2,8,0,1,4,7,0,1,2,7,0,2,6,7
39,0,1,4,7,0,1,4,7,0,2,4,7,0,1,6,7
40,0,2,4,7,0,0,4,7,0,1,6,7,0,1,5,7
41,0,0,3,8,0,1,2,7,0,1,4,7,0,0,4,7
42,0,2,4,6,0,1,2,7,0,2,6,7,0,0,2,7
43,0,0,2,8,0,0,5,7,0,1,2,7,0,2,4,7
44,0,1,2,7,0,1,2,7,0,1,4,7,0,2,4,7
45,0,1,3,8,0,1,4,7,0,1,2,7,0,0,4,7
46,0,0,2,7,0,0,2,7,0,1,4,7,0,0,6,7
47,0,1,2,8,0,0,4,8,0,1,4,7,0,2,6,7
48,0,1,2,8,0,1,4,7,0,1,4,7,0,1,5,7
49,2,4,4,7,0,2,4,7,0,1,2,7,0,2,9,7
50,1,2,5,8,0,0,4,7,0,1,6,8,0,2,7,7
51,1,1,2,8,0,0,2,7,0,1,4,7,0,1,6,7
52,1,2,2,7,0,0,4,7,0,1,3,7,0,1,5,7
53,1,1,2,7,0,1,4,7,0,1,4,7,0,1,4,7
54,2,4,5,8,0,1,4,8,0,2,6,7,0,2,6,7
55,1,2,2,8,0,0,4,7,0,1,6,8,0,1,4,7
56,1,1,4,7,0,0,4,8,0,1,3,7,0,2,7,7
57,1,1,4,6,0,0,4,7,0,1,6,7,0,1,7,7
58,1,1,4,7,0,0,6,7,0,1,6,7,0,2,6,7
59,0,0,3,7,0,0,3,7,0,1,5,7,0,2,7,7
60,0,0,3,7,0,0,4,7,0,2,4,8,0,2,6,7
61,0,1,3,8,0,0,2,8,0,1,5,7,0,1,8,7
62,1,2,2,9,0,0,5,7,0,1,7,7,0,0,5,7
63,0,1,2,8,0,0,3,8,0,1,6,7,0,1,4,7
64,1,2,4,6,0,0,4,7,0,1,4,7,0,2,5,7
65,0,0,3,8,0,0,3,7,0,1,4,7,0,1,7,7
66,0,1,2,8,0,1,4,7,0,1,4,8,0,1,7,7
67,0,1,2,7,0,0,6,7,0,0,6,7,0,1,9,7
68,2,1,4,7,0,0,6,7,0,1,4,7,0,1,6,7
69,1,1,5,8,0,0,4,7,0,1,4,7,0,2,6,7
70,1,2,4,8,0,0,3,7,0,1,4,7,0,1,6,7
71,1,1,3,8,0,1,4,7,0,1,7,7,0,0,4,7
72,4,2,4,7,0,1,4,7,0,2,7,8,0,4,6,7
73,1,2,4,8,0,1,3,7,0,1,6,7,0,3,6,7
74,0,4,4,7,0,0,4,7,0,1,3,7,0,1,6,7
75,0,0,4,8,0,0,3,7,0,2,4,7,0,1,6,7
76,0,1,4,7,0,0,4,7,0,1,6,7,0,2,7,7
77,0,1,4,7,0,0,4,7,0,1,7,7,0,1,6,7
78,0,1,3,8,0,2,5,8,0,1,6,8,0,2,6,7
79,0,0,4,7,0,1,4,7,0,2,6,7,0,2,7,7
80,0,1,3,7,0,0,3,7,0,1,6,7,0,3,9,7
81,0,1,4,7,0,1,6,7,0,2,6,7,0,3,8,7
82,0,1,3,7,0,0,6,7,0,1,7,7,0,1,6,7
83,0,1,4,7,0,2,4,7,0,1,6,7,0,1,9,7
84,2,4,4,8,0,1,8,7,0,2,7,7,0,3,7,7
85,2,4,5,8,0,1,8,7,0,2,6,7,0,2,6,7
86,2,4,4,8,0,1,8,7,0,2,7,7,0,2,9,7
87,0,1,2,7,0,2,7,7,0,1,4,7,0,2,8,7
88,0,1,4,7,0,1,4,7,0,1,7,7,0,2,8,7
89,0,1,6,7,0,1,8,7,0,1,4,7,0,4,8,7
90,0,1,6,7,0,2,4,7,0,1,6,7,0,2,6,7
91,0,1,3,8,0,0,6,7,0,1,6,7,0,2,8,7
92,0,1,3,7,0,0,6,7,0,2,8,7,0,3,9,7
93,0,1,4,7,0,1,6,7,0,2,7,7,0,1,8,7
94,0,1,6,7,0,1,8,7,0,2,9,7,0,1,8,7
95,0,1,3,7,0,0,7,7,0,2,6,7,0,1,7,7
96,0,1,3,7,0,1,4,7,0,1,7,7,0,0,6,7
97,1,2,4,9,0,2,2,8,0,2,4,7,0,1,6,7
98,0,1,4,7,0,0,7,8,0,1,7,7,0,1,6,7
99,2,4,6,8,0,0,4,8,0,2,7,7,0,1,4,7
100,0,1,4,7,0,0,7,7,0,1,7,7,0,0,6,7
101,0,0,5,7,0,0,7,7,0,0,7,7,0,0,4,7
102,2,4,6,7,0,1,4,8,0,0,4,7,0,1,6,8
103,0,0,4,8,0,0,4,8,0,1,7,7,0,0,6,7
104,0,1,4,7,0,0,6,7,0,1,7,7,0,2,9,7
105,0,1,6,7,0,1,4,7,0,1,7,7,0,0,7,7
106,1,4,6,8,0,0,6,7,0,0,7,7,0,2,8,8
107,1,4,6,7,0,1,7,7,0,1,8,7,0,2,7,7
108,2,4,6,8,0,1,7,8,0,2,7,8,0,2,6,7
109,2,4,6,8,0,1,6,7,0,1,6,7,0,1,6,7
110,1,4,6,8,0,0,6,8,0,1,7,7,0,2,7,7
111,0,2,6,7,0,0,7,7,0,2,8,7,0,0,9,7
112,1,2,4,8,0,1,6,8,0,1,9,7,0,2,9,7
113,2,2,6,7,0,1,7,7,0,2,9,7,0,1,7,7
114,2,4,6,6,0,4,7,7,0,4,7,7,0,4,8,7
115,2,4,6,7,0,2,9,7,0,2,6,7,0,5,9,7
116,2,4,6,7,0,2,7,7,0,2,9,7,0,4,9,7
117,2,4,6,7,0,2,9,7,0,2,8,7,0,2,9,7
118,0,2,9,7,0,0,9,7,0,4,9,7,0,2,9,7
119,0,2,4,7,0,1,8,7,0,2,9,7,0,3,9,7
120,0,2,6,8,0,2,6,8,0,4,9,7,1,4,7,7
