,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
0,1,1,2,4,2,2,2,4,1,1,2,4,2,1,2,4
1,1,0,2,4,2,2,2,4,1,0,2,3,1,1,1,4
2,0,0,1,4,2,1,2,4,1,0,2,4,0,0,2,4
3,0,0,2,4,1,1,2,3,0,0,2,4,0,0,2,4
4,2,1,2,3,2,0,2,4,0,0,2,4,0,0,2,4
5,1,1,2,4,2,1,2,3,0,0,1,4,0,0,1,4
6,4,3,4,4,2,2,3,5,3,2,2,5,3,2,3,5
7,3,2,3,4,2,2,3,4,2,2,2,4,3,3,3,6
8,4,2,3,4,2,2,2,5,2,2,3,5,2,2,2,6
9,3,2,3,4,2,2,3,5,2,2,2,4,3,2,3,6
10,3,2,2,4,2,2,2,4,2,2,3,4,2,2,3,5
11,2,2,3,4,3,2,2,4,2,2,4,5,2,2,2,5
12,4,3,3,5,4,2,3,5,3,2,4,5,3,3,4,5
13,3,3,3,5,2,2,2,6,2,2,4,6,3,3,4,5
14,2,2,4,5,2,2,4,6,2,2,4,6,3,2,4,6
15,2,2,3,5,2,2,2,6,2,2,4,5,3,3,4,6
16,2,2,3,5,2,2,4,5,2,2,4,6,2,2,4,6
17,1,2,3,6,2,2,2,4,3,2,4,6,2,3,4,6
18,2,2,3,5,2,2,2,4,3,2,4,6,4,2,4,6
19,2,2,3,5,2,2,2,5,2,2,4,5,3,2,4,5
20,3,3,4,4,1,2,2,6,2,2,4,6,2,2,3,6
21,2,2,3,4,2,2,2,5,2,2,4,5,3,2,3,6
22,2,2,3,5,1,2,3,5,2,2,4,6,2,2,4,6
23,2,2,3,4,2,2,4,6,2,2,3,6,2,2,4,6
24,2,2,3,5,2,2,3,4,2,2,2,5,3,2,4,5
25,2,2,3,4,2,2,3,5,2,2,4,5,2,2,3,6
26,2,2,2,5,2,2,2,5,2,2,4,6,2,2,4,6
27,0,2,3,6,2,2,3,4,2,2,4,5,2,2,4,6
28,0,2,2,5,2,2,2,5,2,2,3,5,2,2,2,5
29,0,1,2,5,0,2,4,6,0,2,3,6,2,2,2,6
30,0,0,1,5,0,0,1,4,0,0,2,5,0,0,2,4
31,0,0,0,4,0,0,2,5,0,0,2,5,0,0,2,6
32,0,0,2,6,0,0,2,5,0,0,2,5,0,0,2,5
33,0,0,1,5,0,0,2,5,0,0,2,5,0,0,2,6
34,0,0,2,5,0,0,2,6,0,0,3,6,0,0,2,5
