,3000_1m,4000_1m,5000_1m,6000_1m,3000_3m,4000_3m,5000_3m,6000_3m,3000_6m,4000_6m,5000_6m,6000_6m,3000_12m,4000_12m,5000_12m,6000_12m
0,3,4,3,4,3,4,3,3,5,5,4,4,5,5,5,5
1,3,4,3,3,2,4,2,3,4,5,4,3,5,5,5,5
2,0,4,3,2,2,2,2,0,3,5,4,4,5,5,5,5
3,0,2,0,2,0,2,0,2,4,4,4,4,6,5,5,5
4,2,4,2,0,2,2,0,0,5,4,5,5,5,5,6,5
5,2,2,0,2,3,2,2,2,5,4,2,2,6,5,5,6
6,7,6,7,7,6,6,6,6,7,6,6,7,7,7,7,7
7,6,6,6,7,6,4,5,7,6,7,5,7,7,7,7,7
8,7,6,6,6,6,4,5,5,7,6,6,6,7,7,7,7
9,7,4,4,7,6,4,6,5,7,6,5,6,7,7,7,7
10,6,5,5,6,6,6,5,5,6,6,6,6,7,7,7,7
11,6,6,6,6,4,6,5,6,6,6,6,6,6,7,7,7
12,7,6,7,7,6,6,6,7,6,6,7,7,7,7,7,7
13,6,5,6,7,6,5,5,7,6,5,7,7,7,7,7,7
14,6,5,6,7,5,4,5,6,7,7,7,7,7,7,7,7
15,5,5,5,7,5,5,5,7,6,6,6,7,7,7,7,7
16,6,5,6,6,5,5,5,6,6,7,7,7,7,7,7,7
17,2,4,7,6,5,4,6,7,6,6,7,7,7,7,7,7
18,6,6,7,7,5,5,6,6,7,5,7,7,7,7,7,7
19,5,5,5,7,5,5,5,6,6,6,7,7,7,7,7,7
20,6,2,5,6,6,5,6,5,7,5,7,7,7,7,7,7
21,6,4,6,7,5,5,5,6,6,6,7,6,7,7,7,7
22,6,2,6,6,5,5,5,4,6,6,7,6,7,7,7,7
23,4,5,5,6,6,6,5,5,6,7,6,7,7,7,7,7
24,5,6,6,7,5,5,5,6,6,7,6,7,7,7,7,7
25,4,6,6,6,5,6,6,5,6,7,7,6,7,7,7,7
26,4,5,5,6,5,5,5,6,6,6,7,7,7,7,7,7
27,1,5,6,6,5,5,5,5,7,7,7,7,7,7,7,7
28,1,5,4,6,4,5,6,6,6,6,6,6,7,7,7,7
29,2,1,2,5,2,4,5,6,5,7,6,6,7,7,7,7
30,0,0,0,0,0,0,0,0,2,2,4,4,7,7,7,7
31,0,0,0,0,0,0,0,1,1,4,3,4,6,7,7,7
32,0,0,0,0,0,0,0,0,3,4,4,3,7,7,7,7
33,0,0,0,0,0,0,0,0,2,3,4,6,7,7,7,7
34,0,0,0,0,0,0,0,0,3,4,6,3,7,7,7,7
35,0,0,0,0,0,0,0,0,3,4,4,4,7,7,7,7
36,0,0,2,1,1,1,4,2,4,4,6,6,7,7,7,7
37,0,0,0,0,1,0,2,2,2,4,4,5,7,7,7,7
38,0,0,0,0,1,1,1,2,2,4,2,6,7,7,7,7
39,0,0,0,0,1,1,2,1,4,4,4,6,7,7,7,7
40,0,0,0,0,2,0,1,1,4,4,6,5,7,7,7,7
41,0,0,0,0,0,1,1,0,3,2,4,4,7,7,7,7
42,0,0,0,0,2,1,2,0,4,2,6,2,6,7,7,7
43,0,0,0,0,0,0,1,2,2,5,2,4,7,7,7,7
44,0,0,0,0,1,1,1,2,2,2,4,4,7,7,7,7
45,0,0,0,0,1,1,1,0,3,4,2,4,7,7,7,7
46,0,0,0,0,0,0,1,0,2,2,4,6,7,7,7,7
47,0,0,0,0,1,0,1,2,2,4,4,6,7,7,7,7
48,0,0,0,0,1,1,1,1,2,4,4,5,7,7,7,7
49,2,0,0,0,4,2,1,2,4,4,2,7,6,7,7,7
50,1,0,0,0,2,0,1,2,5,4,6,5,6,7,7,7
51,1,0,0,0,1,0,1,1,2,2,4,6,6,7,7,7
52,1,0,0,0,2,0,1,1,2,4,3,5,6,7,7,7
53,1,0,0,0,1,1,1,1,2,4,4,4,6,7,7,7
54,2,0,0,0,4,1,2,2,5,4,6,6,6,7,7,7
55,1,0,0,0,2,0,1,1,2,4,6,4,6,7,7,7
56,1,0,0,0,1,0,1,2,4,4,3,7,6,7,7,7
57,1,0,0,0,1,0,1,1,4,4,6,7,6,7,7,7
