Workload,Total_Requests,Avg_Read_Time(ps),Page_Avg_Time(ps),WL_Avg_Time(ps),Short_Avg_Time(ps),Long_Avg_Time(ps),Short_Count,Long_Count
workload_time1,1438,13807468.362308763,13807468.362308763,0.0,13807468.362308763,0.0,1438,0
workload_time10,43464,24774623.11655623,24606825.890586827,118108603.1923077,24606825.890586827,118108603.1923077,43386,78
workload_time11,99936,25410859.19851705,25410859.19851705,0.0,25410859.19851705,0.0,99936,0
workload_time12,131421,64454271.185617216,64272051.465354525,789953804.6969697,64272051.465354525,789953804.6969697,131388,33
workload_time13,36050,25596691.601303745,25596691.601303745,0.0,25596691.601303745,0.0,36050,0
workload_time14,2255927,32632811.033226695,32631872.724007577,244307582.9,32631872.724007577,244307582.9,2255917,10
workload_time15,118718,58613080.482833266,58598818.24805163,116984473.03448276,58598818.24805163,116984473.03448276,118689,29
workload_time16,35550,37838232.038312234,37802881.799206614,247253048.5,37802881.799206614,247253048.5,35544,6
workload_time17,9076,33097608.663508154,32764862.38514185,210412228.4117647,32764862.38514185,210412228.4117647,9059,17
workload_time2,358559,17650572.946647555,17361167.804376826,77517004.56231885,17361167.804376826,77517004.56231885,356834,1725
workload_time3,23908,28982963.778484188,28982963.778484188,0.0,28982963.778484188,0.0,23908,0
workload_time4,97625,8882002.374862997,8845908.311358204,34755341.76470588,8845908.311358204,34755341.76470588,97489,136
workload_time5,158424,8556311.01509241,6801424.56910649,54818027.38756476,6801424.56910649,54818027.38756476,152634,5790
workload_time6,8917,13756305.971627228,13754396.414199192,30781920.0,13754396.414199192,30781920.0,8916,1
workload_time7,3580,19667797.429888267,19667797.429888267,0.0,19667797.429888267,0.0,3580,0
workload_time8,2,8381520.0,8381520.0,0.0,8381520.0,0.0,2,0
workload_time9,18240,33016622.73667763,32989346.86686423,60628894.94444445,32989346.86686423,60628894.94444445,18222,18
