workload,total_requests,total_read_time,avg_read_time,median_read_time,std_read_time,min_read_time,max_read_time,page_requests,page_avg_time,page_median_time,wl_requests,wl_avg_time,wl_median_time,short_requests,short_avg_time,long_requests,long_avg_time
workload_time1,1438,19855139505,13807468.362308763,8381600.0,70081870.83426851,3480080,1469536790,1438,13807468.362308763,8381600.0,0,0.0,0.0,1438,13807468.362308763,0,0.0
workload_time10,43464,1076804219138,24774623.11655623,9081920.0,51637906.333412625,2780080,1484452990,43386,24606825.890586827,9081920.0,78,118108603.1923077,47581800.0,43386,24606825.890586827,78,118108603.1923077
workload_time11,99936,2539459624863,25410859.19851705,8381600.0,88782274.31810457,2780080,1861254611,99936,25410859.19851705,8381600.0,0,0.0,0.0,99936,25410859.19851705,0,0.0
workload_time12,131421,8470644773485,64454271.185617216,15381920.0,117736835.77159946,2780320,1859211531,131388,64272051.465354525,15381920.0,33,789953804.6969697,760218081.0,131388,64272051.465354525,33,789953804.6969697
workload_time13,36050,922760732227,25596691.601303745,12580080.0,93194581.07905373,3480080,1507769270,36050,25596691.601303745,12580080.0,0,0.0,0.0,36050,25596691.601303745,0,0.0
workload_time14,2255927,73617239495754,32632811.033226695,9081920.0,69721247.59869562,2780080,5843943437,2255917,32631872.724007577,9081920.0,10,244307582.9,160345017.0,2255917,32631872.724007577,10,244307582.9
workload_time15,118718,6958427688761,58613080.482833266,12580240.0,126326302.14038597,3480080,2847274458,118689,58598818.24805163,12580160.0,29,116984473.03448276,47581680.0,118689,58598818.24805163,29,116984473.03448276
workload_time16,35550,1345149148962,37838232.038312234,8381920.0,98000450.89042404,3480080,1507769270,35544,37802881.799206614,8381920.0,6,247253048.5,47581480.0,35544,37802881.799206614,6,247253048.5
workload_time17,9076,300393896230,33097608.663508154,8381920.0,92807209.722287,3480080,1594053734,9059,32764862.38514185,8381920.0,17,210412228.4117647,103581920.0,9059,32764862.38514185,17,210412228.4117647
workload_time2,358559,6328771785177,17650572.946647555,13981440.0,72068708.40401562,2780080,1857768905,356834,17361167.804376826,13981440.0,1725,77517004.56231885,92381920.0,356834,17361167.804376826,1725,77517004.56231885
workload_time3,23908,692924698016,28982963.778484188,3480480.0,137679384.8431892,3480080,1534281836,23908,28982963.778484188,3480480.0,0,0.0,0.0,23908,28982963.778484188,0,0.0
workload_time4,97625,867105481846,8882002.374862997,3480480.0,50802758.286725044,2780240,5940921907,97489,8845908.311358204,3480480.0,136,34755341.76470588,47581920.0,97489,8845908.311358204,136,34755341.76470588
workload_time5,158424,1355525016255,8556311.01509241,8381920.0,18386174.859391443,2780080,2412561440,152634,6801424.56910649,8381920.0,5790,54818027.38756476,51780560.0,152634,6801424.56910649,5790,54818027.38756476
workload_time6,8917,122664980349,13756305.971627228,8381600.0,56755965.4665682,3480080,1576976759,8916,13754396.414199192,8381600.0,1,30781920.0,30781920.0,8916,13754396.414199192,1,30781920.0
workload_time7,3580,70410714799,19667797.429888267,8381760.0,81635417.96190639,3480080,1493069270,3580,19667797.429888267,8381760.0,0,0.0,0.0,3580,19667797.429888267,0,0.0
workload_time8,2,16763040,8381520.0,8381520.0,113.13708498984761,8381440,8381600,2,8381520.0,8381520.0,0,0.0,0.0,2,8381520.0,0,0.0
workload_time9,18240,602223198717,33016622.73667763,9081920.0,79772322.00471613,3480080,1507769270,18222,32989346.86686423,9081920.0,18,60628894.94444445,48281720.0,18222,32989346.86686423,18,60628894.94444445
