Workload,Total_Requests,Avg_Read_Time(ps),Page_Avg_Time(ps),WL_Avg_Time(ps),Short_Avg_Time(ps),Long_Avg_Time(ps),Short_Count,Long_Count
workload_time1,1438,13807468.362308763,13807468.362308763,0,13807468.362308763,0,1438,0
workload_time10,43464,24863800.680172097,24863800.680172097,0,24863800.680172097,0,43464,0
workload_time11,99936,25410859.19851705,25410859.19851705,0,25410859.19851705,0,99936,0
workload_time12,131421,64449693.447652966,64449693.447652966,0,64449693.447652966,0,131421,0
workload_time13,36050,25596691.601303745,25596691.601303745,0,25596691.601303745,0,36050,0
workload_time14,2255927,32632825.725777473,32632825.725777473,0,32632825.725777473,0,2255927,0
workload_time15,118718,58629865.934811905,58629865.934811905,0,58629865.934811905,0,118718,0
workload_time16,35550,37807023.94227848,37807023.94227848,0,37807023.94227848,0,35550,0
workload_time17,9076,32949517.14720141,32949517.14720141,0,32949517.14720141,0,9076,0
workload_time2,358559,17647934.691908445,17647934.691908445,0,17647934.691908445,0,358559,0
workload_time3,23908,28982963.778484188,28982963.778484188,0,28982963.778484188,0,23908,0
workload_time4,97625,8882002.374862997,8882002.374862997,0,8882002.374862997,0,97625,0
workload_time5,158424,8605891.432769025,8605891.432769025,0,8605891.432769025,0,158424,0
workload_time6,8917,13756305.971627228,13756305.971627228,0,13756305.971627228,0,8917,0
workload_time7,3580,19667797.429888267,19667797.429888267,0,19667797.429888267,0,3580,0
workload_time8,2,8381520.0,8381520.0,0,8381520.0,0,2,0
workload_time9,18240,33143465.42417763,33143465.42417763,0,33143465.42417763,0,18240,0
