Workload,Total_Requests,Avg_Read_Time(ps),Page_Avg_Time(ps),WL_Avg_Time(ps),Short_Avg_Time(ps),Long_Avg_Time(ps),Short_Count,Long_Count
workload_time1,1438,7271712.600834493,7271712.600834493,0,7271712.600834493,0,1438,0
workload_time10,43464,10704016.828547765,10704016.828547765,0,10704016.828547765,0,43464,0
workload_time11,99936,13228186.331362072,13228186.331362072,0,13228186.331362072,0,99936,0
workload_time12,131421,7312960.830430449,7312960.830430449,0,7312960.830430449,0,131421,0
workload_time13,36050,9470798.234757282,9470798.234757282,0,9470798.234757282,0,36050,0
workload_time14,2255927,15169849.022106655,15169849.022106655,0,15169849.022106655,0,2255927,0
workload_time15,118718,7377201.230436834,7377201.230436834,0,7377201.230436834,0,118718,0
workload_time16,35550,4773088.784331927,4773088.784331927,0,4773088.784331927,0,35550,0
workload_time17,9076,4782981.577787572,4782981.577787572,0,4782981.577787572,0,9076,0
workload_time2,358559,10641854.56191868,10641854.56191868,0,10641854.56191868,0,358559,0
workload_time3,23908,4093560.2676928225,4093560.2676928225,0,4093560.2676928225,0,23908,0
workload_time4,97625,7457915.566647887,7457915.566647887,0,7457915.566647887,0,97625,0
workload_time5,158424,7901959.6433558045,7901959.6433558045,0,7901959.6433558045,0,158424,0
workload_time6,8917,6994926.430750253,6994926.430750253,0,6994926.430750253,0,8917,0
workload_time7,3580,9180321.138826815,9180321.138826815,0,9180321.138826815,0,3580,0
workload_time8,2,8381920.0,8381920.0,0,8381920.0,0,2,0
workload_time9,18240,7107430.027686403,7107430.027686403,0,7107430.027686403,0,18240,0
