workload,total_requests,total_read_time,avg_read_time,median_read_time,std_read_time,min_read_time,max_read_time,page_requests,page_avg_time,page_median_time,wl_requests,wl_avg_time,wl_median_time,short_requests,short_avg_time,long_requests,long_avg_time
workload_time1,1438,19855139505,13807468.362308763,8381600.0,70081870.83426851,3480080,1469536790,1438,13807468.362308763,8381600.0,0,0,0,1438,13807468.362308763,0,0
workload_time10,43464,1080680232763,24863800.680172097,9081920.0,52771009.5974601,2780080,1484452990,43464,24863800.680172097,9081920.0,0,0,0,43464,24863800.680172097,0,0
workload_time11,99936,2539459624863,25410859.19851705,8381600.0,88782274.31810457,2780080,1861254611,99936,25410859.19851705,8381600.0,0,0,0,99936,25410859.19851705,0,0
workload_time12,131421,8470043162584,64449693.447652966,15381920.0,117709909.02926219,2780320,1859211531,131421,64449693.447652966,15381920.0,0,0,0,131421,64449693.447652966,0,0
workload_time13,36050,922760732227,25596691.601303745,12580080.0,93194581.07905373,3480080,1507769270,36050,25596691.601303745,12580080.0,0,0,0,36050,25596691.601303745,0,0
workload_time14,2255927,73617272641076,32632825.725777473,9081920.0,69721129.47359493,2780080,5843943437,2255927,32632825.725777473,9081920.0,0,0,0,2255927,32632825.725777473,0,0
workload_time15,118718,6960420424049,58629865.934811905,12580240.0,126402983.0628822,3480080,2847274458,118718,58629865.934811905,12580240.0,0,0,0,118718,58629865.934811905,0,0
workload_time16,35550,1344039701148,37807023.94227848,8381920.0,97788852.18059851,3480080,1507769270,35550,37807023.94227848,8381920.0,0,0,0,35550,37807023.94227848,0,0
workload_time17,9076,299049817628,32949517.14720141,8381920.0,92022641.15904795,3480080,1594053734,9076,32949517.14720141,8381920.0,0,0,0,9076,32949517.14720141,0,0
workload_time2,358559,6327825815196,17647934.691908445,13981440.0,72051488.21818477,2780080,1857768905,358559,17647934.691908445,13981440.0,0,0,0,358559,17647934.691908445,0,0
workload_time3,23908,692924698016,28982963.778484188,3480480.0,137679384.8431892,3480080,1534281836,23908,28982963.778484188,3480480.0,0,0,0,23908,28982963.778484188,0,0
workload_time4,97625,867105481846,8882002.374862997,3480480.0,50802758.286725044,2780240,5940921907,97625,8882002.374862997,3480480.0,0,0,0,97625,8882002.374862997,0,0
workload_time5,158424,1363379744345,8605891.432769025,8381920.0,19606366.00464993,2780080,2117450261,158424,8605891.432769025,8381920.0,0,0,0,158424,8605891.432769025,0,0
workload_time6,8917,122664980349,13756305.971627228,8381600.0,56755965.4665682,3480080,1576976759,8917,13756305.971627228,8381600.0,0,0,0,8917,13756305.971627228,0,0
workload_time7,3580,70410714799,19667797.429888267,8381760.0,81635417.96190639,3480080,1493069270,3580,19667797.429888267,8381760.0,0,0,0,3580,19667797.429888267,0,0
workload_time8,2,16763040,8381520.0,8381520.0,113.13708498984761,8381440,8381600,2,8381520.0,8381520.0,0,0,0,2,8381520.0,0,0
workload_time9,18240,604536809337,33143465.42417763,9081920.0,80179249.38691346,3480080,1507769270,18240,33143465.42417763,9081920.0,0,0,0,18240,33143465.42417763,0,0
