workload,total_requests,total_read_time,avg_read_time,median_read_time,std_read_time,min_read_time,max_read_time,page_requests,page_avg_time,page_median_time,wl_requests,wl_avg_time,wl_median_time,short_requests,short_avg_time,long_requests,long_avg_time
workload_time1,1438,10456722720,7271712.600834493,8381600.0,3961673.7849759553,3480080,25181920,1438,7271712.600834493,8381600.0,0,0,0,1438,7271712.600834493,0,0
workload_time10,43464,465239387436,10704016.828547765,8381760.0,27046077.571655504,3480080,1840034923,43464,10704016.828547765,8381760.0,0,0,0,43464,10704016.828547765,0,0
workload_time11,99936,1321972029211,13228186.331362072,3480560.0,90684526.96242307,3480080,13550723613,99936,13228186.331362072,3480560.0,0,0,0,99936,13228186.331362072,0,0
workload_time12,131421,961076625296,7312960.830430449,3480480.0,23887841.119042967,3480080,1447679732,131421,7312960.830430449,3480480.0,0,0,0,131421,7312960.830430449,0,0
workload_time13,36050,341422276363,9470798.234757282,10480320.0,8268302.642415765,3480080,938369807,36050,9470798.234757282,10480320.0,0,0,0,36050,9470798.234757282,0,0
workload_time14,2255927,34222071994894,15169849.022106655,8381520.0,37701784.52803411,2780080,6075024919,2255927,15169849.022106655,8381520.0,0,0,0,2255927,15169849.022106655,0,0
workload_time15,118718,875806575675,7377201.230436834,3480400.0,23450099.77993243,3480080,2172789646,118718,7377201.230436834,3480400.0,0,0,0,118718,7377201.230436834,0,0
workload_time16,35550,169683306283,4773088.784331927,3480240.0,3866089.5900132363,3480080,108862797,35550,4773088.784331927,3480240.0,0,0,0,35550,4773088.784331927,0,0
workload_time17,9076,43410340800,4782981.577787572,3480160.0,3152472.519099159,3480080,102880320,9076,4782981.577787572,3480160.0,0,0,0,9076,4782981.577787572,0,0
workload_time2,358559,3815732729867,10641854.56191868,13980080.0,22643754.937558733,2780080,9366309849,358559,10641854.56191868,13980080.0,0,0,0,358559,10641854.56191868,0,0
workload_time3,23908,97868838880,4093560.2676928225,3480480.0,1621502.9341761908,3480080,8381920,23908,4093560.2676928225,3480480.0,0,0,0,23908,4093560.2676928225,0,0
workload_time4,97625,728079007194,7457915.566647887,3480480.0,41971843.327634655,2780480,6944745266,97625,7457915.566647887,3480480.0,0,0,0,97625,7457915.566647887,0,0
workload_time5,158424,1251860054539,7901959.6433558045,8380160.0,12467441.739919545,2780080,2263560484,158424,7901959.6433558045,8380160.0,0,0,0,158424,7901959.6433558045,0,0
workload_time6,8917,62373758983,6994926.430750253,3480640.0,11323892.09056784,3480080,127762637,8917,6994926.430750253,3480640.0,0,0,0,8917,6994926.430750253,0,0
workload_time7,3580,32865549677,9180321.138826815,6280120.0,18455963.910958696,3480080,446035547,3580,9180321.138826815,6280120.0,0,0,0,3580,9180321.138826815,0,0
workload_time8,2,16763840,8381920.0,8381920.0,0.0,8381920,8381920,2,8381920.0,8381920.0,0,0,0,2,8381920.0,0,0
workload_time9,18240,129639523705,7107430.027686403,5580080.0,5927864.203017585,2780080,121462477,18240,7107430.027686403,5580080.0,0,0,0,18240,7107430.027686403,0,0


workload_time2,17647934.691908445,10641854.56191868    
workload_time3,28982963.778484188,4093560.2676928225
workload_time4,8882002.374862997,7457915.566647887
workload_time5,8605891.432769025,7901959.6433558045
workload_time6,13756305.971627228,6994926.430750253
workload_time7,19667797.429888267,9180321.138826815
workload_time8,8381520.0,8381920.0
